Tweet ID,Full Text,Mask Sentiment,Language,
1265996313696432131,Trump finally tweets about covid-19 and it’s an anti-mask tweet.  How can one person be wrong about nearly everything ?,Pro-Mask,English,
1234884551358451712,"Vending machines where you can buy your masks using your ID card 

#innovation #TechNews #china #Covid_19 #coronavirus #CoronaVirusUpdate #CoronavirusOutbreak https://t.co/4OOb5GEwWF",Neutral,English,
1276398288787451904,VIDEO: Inbreng Geert Wilders coronadebat (25-06-2020) https://t.co/wKPMJ6CyUe via @EJBron2,Not Sure,Multiple,
1292033367827984386,"Trump is now all for masks and social distancing, claiming he’s never fought either one — but his track record doesn’t lie https://t.co/f0LgElUrxI 02
#BeCounted",Pro-Mask,English,
1270504009137360897,"@RoushKSR She also can’t produce a convincing TV commercial. Everyone of them have been awful. Her latest is around an N95 mask. @Booker4KY on the other hand, his commercial was spot on.",Neutral,English,
1274873704615481345,"@JoeBiden @Mark_Sheppard none of the people at the rally are wearing masks, nor are they social distancing. why is Trump having a rally without any precautions! He is a clown",Pro-Mask,English,
1271173842522836994,"We obviously aren’t able to carry out our usual tours @KingstonHospNHS in the current #COVID19 climate. Please make use of our #maternity video. We’re still the same people just with face mask, visits and goggles https://t.co/7NNIKgrNTg",Neutral,English,
1254591476010561537,32 Days on a Ventilator: One Covid Patient’s Fight to Breathe Again by Pam Belluck https://t.co/TQxFsfXAdx,Unrelated,English,
1223013498378047488,"even face masks in online shops are sold out??? imagine kung hanggang saan ang inabot nung milyon milyong shinip out na face masks ng pinas sa china, kung dito sana sya nautilize? hayop na gobyernong yan",Pro-Mask,Multiple,
1300103659737366528,"The masked “protest” against #covid19 lockdown in #Broadmeadows &amp; planned for 5th Sept #Australia has zero to do with #Anonymous. It’s racist, self serving, one of the so called organisers using #BlackLivesMatter as a “joke” to garner attention. Pure #Qanon BS! #COVID19 https://t.co/auFqbRtALB",Neutral,English,
1298737371022675968,@nycgov maybe let us stay home instead of forcing us to work and we won't catch the disease that you boomer-ass shitheads keep spreading by not wearing a damned mask or washing your damned hands,Pro-Mask,English,
1277371462421229568,"@MeetThePress @NYGovCuomo Why wouldn’t you just admit I made the worst decision that any politician has made during this entire pandemic and it cost hundreds if not thousands of seniors their lives, everybody knows it, just cop to it and Move on and stop with the bullshit, NOBODY is buying it.",Unrelated,English,
1278763506070888449,@infobae Trabajan para las cámaras. Dos sin vergüenzas. Juegan con la necesidad de la gente. Y se hacen de los que están preocupados x la seguridad jajajaj 😂😂idiotas útiles a la corona!!! Pero más idiotas los que le siguen el juego 😡,Not Sure,Other,
1222744010726359040,"Donating 100,000 face masks to Hubei Province, China https://t.co/AwshTypoCN via @YouTube",Pro-Mask,English,
1235305436812906497,"A global rush to buy masks and other protective equipment amid the coronavirus outbreak is endangering supplies and putting medical workers' lives at risk, WHO said. https://t.co/HxFgFTEVKi via @HuffPost",Pro-Mask,English,
