Tweet ID,Full Text,Mask Sentiment,Language,Notes
1250488980954480640,"@johnpavlovitz @LisaClaire9090 No social distancing no masks/gloves, blocking an ambulance. THESE DANGEROUS FOOLS SHOULD BE ARRESTED.",Pro-Mask,English,
1262876472521326592,"Mari"" ki bersama Polri Jaga kamtibmas  dan Cegah penyebaran  Virus Covid - 19 dengan Tetap di Rumah, jangan mudik,  gunakan Masker, jaga Kebersihan serta Cuci Tangan
 #PolriPreventifCegahCovid19
#sukseskanpilkadaserentak2020
#dirumahaja
#polrihimbaupakaimasker
#janganmudikdulu https://t.co/5kk6R8OI5q",Not Sure,Other,
1298678631548563457,I saw 12 patients die in two weeks. Don’t fucking tell me covid is fake. Fuck you. Seriously... and I’m not sorry for this tweet. Wear your masks or stay tf away from me. 💯,Pro-Mask,English,
1296446452802228227,"@501Awani Lawak apakah ini. Dia tak tahu yang aku tengah tercidukk nak bayar hutang kereta segala benda nak kena bayar covid covid ni dengan gaji basic rendah takde OT, cuti kena paksa unpaid leave apa bagai, sana potong sini potong hm 😌",Not Sure,Other,
1283221002416091136,"@kvicindia Corona mahamaari khatm hone k baad aayega kya masks humara?  #khadimasks sirf prachaar karne se nhi hoga, achi service b dena sikhiye. Government   k jaisa aur government karmchaari  k jaisa kaam ho rha hi. very bad😠😠😠",Not Sure,Other,
1269618431059324928,"Nakaka lungkot ang magkapated ng dumating covid19

#KMJS15
@KapusoBrigade
@encabattalionkb",Not Sure,Other,
1269230094368878594,Model Halima Aden mempunyai desain masker yang bisa membantu mereka yang mengenakan jilbab dan turban melindungi diri mereka selama pandemi COVID-19. https://t.co/wyKJ2WViog,Not Sure,Other,
1232659905515073537,Versões mais novas de celular da Xiaomi já vem com antivírus pro corona ou nem?,Not Sure,Other,
1293983138985717763,"@foxandfriends @jrodfromoz Hey Biden &amp; Harris:
Wearing a mask and social distancing is nonsense!  This is all about CONTROLLING THE PEOPLE...TYRANNY!
Herd immunity is the only answer for this virus which is NOT as lethal as you and your fellow commie-democrats say!  LIARS!",Anti-Mask,English,
1289252253845528576,"Un verano digital y diferente desde la UCI.
#CubaSalvaVidas 
#QuedateEnCasa
@Cubacoopera_Ve3
@CubacooperaveG
@EliecerEnriqueA
@AcunaDananna
@oro_rober
@Wisner83331614
https://t.co/UJmWhQQbIR Via @Granma_Digital",Not Sure,Other,
