Tweet ID,Full Text,Mask Sentiment,Language,
1286803875937353729,@DrAnthonyF maybe when you learn to throw a baseball you'll also learn to follow your own rules of mask wearing and social Distancing https://t.co/NPrIbGFRP0,Pro-Mask,English,
1277303322324676609,@AcousticAri @RebelWilson It’s insane that you’re the only responsible person in this thread pointing out that Rebel Wilson’s family just threw their 90 yo matriarch a bday party w/o masks or social distancing during a pandemic,Pro-Mask,English,
1235037024186511373,OMS recomenda pagamento por aproximação para evitar coronavírus https://t.co/EGFKYhue7N,Not Sure,Other,
1251030298193625088,"Kali ini aku mau kasi tau gimana caranya Yunita bisa punya masker untuk membantu mencegah #covid19 Meskipun baru pertama kali pegang mesin jahit, hasilnya not bad dan maskernya bisa digunakan dengan baik 😷 Yuk tonton keseruan prosesnya. #youtuber #stayathome #selfquarantine #diy https://t.co/tNXxLeHIUB",Not Sure,Other,
1289664487016951809,@stevenmazie Ask herman cain. Wear a mask?  Guess you can’t,Pro-Mask,English,
1270134176264728585,#Noticias | Lunes con dos nuevos casos de coronavirus: corresponden al Departamento Colón y el total llega a 55 https://t.co/pmKTJU6i4u,Not Sure,Other,
1227638200560181249,"I have to say that i don’t think a single measure in my (uk) biohazard training has been implemented (from what i have seen on sm) in china. Those that have them don a biohaz suit, mask ,gloves for personal use (protection, NO) and thats it. Cross-contam? Whats that. https://t.co/OLGxtKNg8k",Pro-Mask,English,
1289119715340804101,Interesting story about different approaches to returning to work in offices. But can @guardian provide some data on how many people work in offices as opposed to other workplaces? @BenQuinn75   https://t.co/s5w0wCyKQ7,Unrelated,English,
1265742785300307969,"El señor Alcalde Tomasito Cornejo y empleados municipales, como parte de las medidas preventivas por contagios de COVID-19, realizan limpieza y sanitización en el Mercado Municipal, es nuestro objetivo velar por la salud de los ciudadanos.

Quédate en 🏠 https://t.co/x3beHbB4sq",Not Sure,Other,
1246322263064023042,Et #Eboueurs #Egoutiers #Agents de tri...👍👏👏👏 sans eux on serait dans la M... https://t.co/ouQA2YoTM7,Unrelated,French,
1223087877048815617,Whoever woke up one morning and thought eating a bat soup is a good idea should burn in hell. This is soo frustrating. Wearing mask everywhere and being paranoid. #coronavirus,Anti-Mask,English,
1281467479990996992,We're disappointed you're a pedophile https://t.co/7paYcHUaBB,Unrelated,English,
