Tweet ID,Full Text
1346132841894191104,"@DumpTheDuopoly @bronnysmoked @breadedcircus @ossoff I agree we don't need lockdowns, but we also need people to take this pandemic seriously. Wear a mask, social distance, use hand sanitizer, and wash your hands. It's not too much to ask tbh."
1349438846874869760,"Imagine trying to dunk on COVID masks while wearing a COVID mask. If it’s useless take it off and run the risk, dumb fuck. Doubt it would have mercy on someone your age if it got to you but that’s on you lol. https://t.co/AphGZE51pS"
1353038812994269184,You've heard of Elon Musk now get ready for the Corona edition: Elon Mask
1347224442905243650,LIAM WEAR A MASK https://t.co/SQalZoccq1
1347543881194340357,"ALWAYS : Have a PLAN, dont FOMO. BUY near support, SELL at resistance. Wear a mask and call your mother."
1346537105086963712,"@TiredChameleon Yup, but I went from fat to skinny in the first lockdown, I'm afraid that I'll reverse it this time 😂😂. I am watching my diet, and I really really want to wear my new clothes 😭😭"
1345278637864456192,"@Kiiiiiiirsten So you’re saying that you went out on NYE without a mask on, to party, while positive with covid? Do you understand how reckless that is? You posted a photo at a bar, clearly you have no regard for anyone but yourself."
1345794529778130945,@don_zeilstra @realDonaldTrump I think science loses its credibility when a President politicizes things like masks and social distancing and then mocks people that follow that very behavior for others health and well being. Therefore his followers modeling his poor behavior and more lives lost unnecessarily.
1351947371106627585,"wear your mask, stand away, wash your hands, prevent covid
https://t.co/vZfI1pp5J9"
1354179223523643393,"As global #COVID19 cases top 100 mln, please #WearAMask and #KeepDistance.
Stay home, stay safe, and save lives.
🤫😷🤫 https://t.co/qjM6VPTn0q"
1355531702819545089,"My all time favorite excuse for people not wearing a mask is this:

""I have a medical condition that prohibits me from wearing one.""

Listen, I have been a severe asthmatic my entire life and wear a mask every day for 8 hours a day!

You can wear a damn mask, too.

 #MaskUp"
1347266465221767173,wear a mask @iwiIIbutcheryou https://t.co/txhJ8RJFjw
1355525167921958915,If you’re gonna talk shit all the time at least wear a mask to stop the spread
1353546937136369668,"My country's president was diagnosed with covid. I don't really care, but I feel mad that I was sick before him because he didn't want to wear a mask and minimize the pandemic right from the start."
1351098661678280710,"@anitadines @AJNovaScotia @patrici47462841 @JoeBiden @grizeldatee1 Both Norway and Denmark have mask mandates lol, and also Sweden although doesn’t have a mask mandate it does recommend it, and many people do wear it. Furthermore Sweden is the only countries, many times it has shown that when there was a mask and lockdown, cases fell"
1353065895644413960,"For covid information, A)wear a mask B)Social Distance C)Sanitise and D)Socialise virtually - it's important to stay together even when we are physically apart. But if you want expert info check out @NHSuk and @CovidAidUK"
1353979963297460226,"Is a school an indoor setting?

Are children humans?

The advice from @uksciencechief when in an indoor setting with members of other households you must;
1-socially distance
2-wear a mask
3-monitor ventilation

Why not in school? Does the virus act differently in a school? https://t.co/T5NYbaHkJ5"
1348088879572774914,"#COVID19India #Jan9th2021
Active cases under 2.20 Lakhs
Reported cases last 24 hrs under 18k 
#TNCoronaUpdates 
Active Cases under 7.3 K
Reported cases last 24 hrs under .76K

#StaySafeStayHealthy #WearAMask #SocialDistancing"
1350596574230011911,@LindaSk49118554 Welsh and dumb. Just wear a sodding mask ffs.
1348038391984697346,"Factual. Also they actually have a reason to be upset as we have occupied their countries. Jesus, our people cant wear a mask. Imagine if someone from Spain was walking their neighborhood w machine gun https://t.co/QocoJJLSUY"
