Tweet ID,Full Text,Mask Sentiment,Language
1278955529038159874,"@science_cited Watch Dr Zach Bush on LondonReal’s Digital Freedom Platform, he gives intelligent reasons about Covid, masks and vaccines, says it will be gone by Jan at best. The reason why there’s rush for Vaccines. A really compassionate conversation.please share! ☮️🌍 https://t.co/RCohjIbB2q",,
1276113595378565120,"@frank_hodgkins Non-medical, fabric masks are being used by many people in public areas, but there has been limited evidence on their effectiveness and WHO does not recommend their widespread use among the public for control of COVID-19.",,
1289120285451415552,"@mrhazzers @WinstonWeed @SandraWeeden @ClarkeMicah The science and lack of ""pandemic"" means masks are pointless and useless they are just not necessary on this scale. https://t.co/uZlBNmuK11",,
1296089001418469376,#Racism #SystemicRacism #Hate #Liars #NBA #WednesdayMorning #COVID19 #BLM #BlackTwitter #WeThePeople #Music #Coffee #Travel #Food #NFL #Workers #SmallBusiness #Money #Gym #WearAMask #Sports #Canada #Video #Fans #Shopping #SocialDistancing #Weather #Makeup #Camp #Exposed #Busted https://t.co/39uqIq0VYG,,
1278926016338149378,"@EricDJuly Your a fucking idiot, enjoy living in the states where this shit is run rampant because ""you cant force me to wear a mask"" you fucking clown. Hows that working for your country?",,
1279046144065179648,"@hrenee80 If you look at why they want us to wear a mask, it's not about controlling a virus, it's about controlling you in every day life",Anti-Mask,English
1287810117065412609,"@AppleBottomTwat Not only do I wear a mask for the safety of others, but also to hide my lips from all the ladies trying to sit on my face. Get in line ladies!",,
1307104668187856896,"@HeartRoll1 Well that sucks, covid will end someday so we might stay strong! :'D.
Also, we still have cases here but they're not that much.
The only worrying thing is that here people don't really wear masks??",,
1302897564979785728,As you can see my hand is clean showing it was not me who dirtied the mask. You are supposed to sanitise before and after you put on your mask to stop the spread of germs from your mask to your body otherwise the mask is useless #covid #covid19 #coronavirus,,
1249865107456344066,"We’ve reached the “I’m wearing a hat at all times, even to do the dishes” portion of the lockdown #FreeTheHairdressers https://t.co/Qsjumuwj45",,
1275802319926562817,Never forget this one time I told this guy I don’t remember the last time my parents hugged me. Probably when I was 7. My dude started tearing up for me. Omg Lolololol. Is this why Asian countries did a better job at controlling covid?? #nohugs #maskson,,
1292103994425274368,"@DrJacobsRad If we need a randomized controlled study on HCQ before people are to be allowed to choose it for a treatment, do we also need a randomized controlled study on masks showing they prevent #covid19 before we impose it as a prevention? #Istandwithscience",Anti-Mask,English
1307823547709038593,@GovAndyBeshear Whatever you and @StevenStackMD are responsible for all the deaths from Covid. You ignored LTCs and your mask law has spread the Covid like Cameltoe Harris spreads her legs,,
1280478528182591489,@BuckyJoe1 @AmoneyResists @PressSec That's correct but once he FINALLY realized Covid is here for the foreseeable future he tried to demand and force places to reopen while NOT enforcing face masks being worn outside like the cities and states have been doing. I hope that helped,,
1280015064507068417,"COVID Maps
1) May 13th 
2) May 29th 
3) June 15th
4) July 2nd

I am just staggered at how stupid people can be when it comes to taking things seriously.  

We were so close to having it under control, but ya'll just can't wear masks...and spout bullshit to justify doing whatever https://t.co/a4pOydgAix",,
