Tweet ID,Full Text,Mask Sentiment,Language,Notes
1294191592941555712,"@SemutThek @1trenggalek Pandemi Covid-19 telah menjadi bencana kesehatan dan kemanusiaan di abad ini 
#IndonesiaMaju",Not Sure,Other,
1262520896230756354,"#pentagram #facemask #mask  #wizard   #pentacle,  #coveringfacemask #madeinUSA #pentagram #moon  #witch #wizard #pentacle #Etsy #pagan #lockdown #covid19 #washablefacemask  #blackmetal #covid_19 #handmademask #maskforsale #gothic #gothicfashion #witches 
https://t.co/LGhuQWjjr2",Neutral,English,http://twitter.com/user/status/
1291456700134952962,@lovebillynyc Perfect mask to be safe and also not give a f@ck when people give you sh$t for telling them to wear masks. The around the head straps allow it to rest around your neck when not in use &amp; the origami flaps nicely cover the nose and chin. Custom name tag reminds me of @Casey 🤙 https://t.co/mmiIa93J03,Pro-Mask,English,
1234843609318461450,"@Jodwayway But that is only if the outbreak spreads. There should be no need to buy masks. If you are sick they should be provided, if you work in a high risk job let’s hope Trump gets his shit together and they should be provided. My local fire department has 1000s of N95s on standby",Pro-Mask,English,
1291131811624636417,"support the good ones. @strikewave’s stories are essential reading. it’s crucial we spread the word on the labor struggles raging around the country 

https://t.co/Dqv0U2y31o",Unrelated,English,
1286829849420664832,@HONEYURlS it wouldn’t hurt wearing a mask if anything just for the first day but if u take it off carefully u would be fine!! i don’t wear makeup often so idk abt that one but... it Can be done,Pro-Mask,English,
1282288470891929600,"@Waterman552 @slowface70 Woher kennst du denn jetzt meine umfassende Meinung zum Thema Covid? Ich hab mich nur zur Maske geäußert, dass man diese auch nur aus Höflichkeit tragen kann.",Not Sure,Other,
1291326220034957313,"@ELister_social @BloodAid @warasigudasai @WeAreHyderabad @rapolu_nikhil Thanks for your concern, we are looking for plasma donors who are recovered from covid19",Unrelated,English,
1223776112750333953,@PeterSweden7 @Sobroski1982 Can someone tell me why all the coach drivers of the potentially infected people from China being driven to the wirral were not wearing and protective clothing or face masks? https://t.co/lfBg8l9olN,Pro-Mask,English,
1272769857889558530,"The old ways of hiring are over. The post-Covid world requires new power tools for recruitment. Before you invest in an online recruitment tool, check these 10 tick boxes and ensure they have all these top features. https://t.co/xELaNKcmB1 

#OnlineRecruitment #Hiring #COVID19",Unrelated,English,
1277899032828841984,"World Chocolate Day Quiz
https://t.co/1Cf9D8vsEs

#amazonworldchocolateday 
#QuizTimeMorningsWithAmazon 
#BBNaijaReunion #WeneeWithWonho #COVID19 #shein #tiktokbanindia https://t.co/iNfrrAc7jC",Unrelated,English,
1273816652526673920,manifest of pro-life values from concentration camp adopted system. Should every Congressman pay the visit ? https://t.co/koS4hdrRgf,Unrelated,English,
1283704695295365120,"Semenjak corona kalo ga pake masker rasanya aneh, dulu mah boro2 pake masker aja gamau 😂",Not Sure,Other,
1297479795568267266,"@rightinthemidd3 @washingtonpost It's impossible for you to have spoken to a single Trump supporter to determine this bc there's no Trump supporters in Wuhan, #ccpsimp

@US_CYBERCOM",Unrelated,English,
1275726385626189830,"@punzzel masker kain❌
masker n95❌
nutup muka pake hijab✔️",Not Sure,Other,
1285511183164821505,WEAR A MASK SO I CAN WEAR MY JERSEY💯 #IWantASeason,Pro-Mask,English,
1275630143168536576,For those people that hanged out with people that have Covid and ya’ll possibly got exposed to it. CALL YOUR FUCKING JOB AND TELL THEM!!! Take 2 weeks off to be safe and get TESTED!! Don’t be fucking SELFISH!,Unrelated,English,
